NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT05523284,Combining Ultrasound and Biomarkers to Diagnose Superficial Endometriosis,https://clinicaltrials.gov/study/NCT05523284,SPGENDO,ENROLLING_BY_INVITATION,"Endometriosis is a benign gynecological disease characterized by uterine-like cells growing outside the uterus, leading to pain, infertility, and inflammation. Endometriosis most commonly occurs in the forms of Superficial Endometriosis (SE), Deep Endometriosis and Ovarian Endometriosis (Endometrioma) (OE). Ultrasound diagnosis of DE and OE has become more reliable with advances in ultrasound technology, technique and expertise, leading to decreased diagnosis time for patients and allowing for better optimization of surgeries if required. SE, however, lacks any reliable non-invasive diagnosis methods.

SE is the most common form of endometriosis and is defined as a disease that lines the peritoneum and is small and superficial in nature, leading to chronic inflammation, infertility, and pain. SE is difficult to visualize on ultrasound due to its size and alignment with tissue, requiring fluid to expand the pelvis and partially suspend these small lesions, allowing them to be diagnosed through ultrasound. Leonardi et al. observed that in some patients, a physiologic change occurs whereby fluid fills the pouch of Douglas (POD), allowing increased visualizing during ultrasound. This led to the development of Saline-infused sonoPODgraphy (SPG), a novel method utilizing modified commonly used ultrasound techniques called saline-infusion sonohysterography (SIS) and hysterosalpingo-contrast-sonography (HyCoSy), to reliably visualize the POD (Leonardi et al, 2019). Visualizing the POD is important as SE is often deposited in the POD.

This diagnostic accuracy pilot study aims to pioneer the technique whereby SPG will be evaluated as a novel, rapid, non-invasive diagnostic tool for SE. The injected fluid from the POD will be withdrawn and evaluated for novel biomarkers, allowing us to further develop rapid diagnostics and better understand disease mechanisms. We hypothesize that SPG will allow for the diagnosis of SE with a diagnostic accuracy parallel to the current invasive gold standard, laparoscopy.",NO,Endometriosis (Diagnosis)|Endometriosis,DIAGNOSTIC_TEST: SonoPODography,"Determine the diagnostic accuracy of SPG as a non-invasive diagnostic modality for superficial endometriosis, in the absence of DE, OE, and POD obliteration., The diagnostic accuracy of SPG and biomarkers will be compared to the current gold standard, laparoscopy and histology., 2022-2024","1. Characterize superficial endometriosis under TVS using modified descriptors from the Leonardi et al (2020) SPG study., Superficial endometriosis will be characterized and described using the developed standardised terminology by Leonardi et al (2020), to assist in the development of an international consensus., 2022-2024|2. Determine the association between TVS and surgical characteristics of superficial endometriosis using the accepted World Endometriosis Research Foundation (WERF) guidelines, The characterization of superficial endometriosis during laparoscopy will be conducted using the WERF guidelines and compared to the descriptors used during ultrasound., 2022-2024|3. Assess the tolerability and acceptance of SPG as a rapid, non-invasive diagnostic technique for SE among those with endometriosis using a questionnaire, A questionnaire will be used to evaluate the tolerability to efficacy of SPG using a 10-point Likert Scale (1 = almost no pain, 10 = worst pain ever experienced in life), 2022-2024|4. Externally validate the Determine the rate of success rate of SPG (fluid filling the POD) from a technicity perspective, The success rate will be determine by the ability of SPG fluid to enter and fill the POD, further illustrating the efficacy of the technique., 2022-2024",,McMaster University,,FEMALE,"ADULT, OLDER_ADULT",,50,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,LRG - SPGENDO,2023-11-15,2025-12-30,2026-09-30,2022-08-31,,2024-04-19,"McMaster University, Hamilton, Ontario, L8S 4L8, Canada",
NCT05239871,Indirect Ultrasonographic Findings for Parametrial Involvement in Deep Endometriosis,https://clinicaltrials.gov/study/NCT05239871,,COMPLETED,This study evaluated the use of ultrasonographic findings as a first-line imaging tool to raise indirect suspicion of parametrial involvement in women suspected of having severe endometriosis (DE).,NO,Endometriosis|Deep Endometriosis,DIAGNOSTIC_TEST: Ultrasound,"Number of patients with a surgical diagnosis of parametrial endometriosis, At surgery|Number of significant ultrasonographic concomitant DE nodules predicting surgical involvement, 1 week before surgical approach|Number of significant ultrasonographic indirect DE signs predicting surgical involvement, 1 week before surgical approach",,,Simone Ferrero,,FEMALE,ADULT,,1078,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,ULTRA-PARAMETRENDO I,2022-01-01,2022-03-01,2022-09-01,2022-02-15,,2022-11-02,"Ginecologia - IRCCS Ospedale Sacro Cuore Don Calabria, Negrar, VR, 37024, Italy",
NCT04338035,Fertility in Untreated Rectosigmoid Endometriosis,https://clinicaltrials.gov/study/NCT04338035,,COMPLETED,"Several studies investigated the reproductive outcomes after surgical treatment of colorectal endometriosis, mainly segmental colorectal resection. Little information is available on the spontaneous fertility of patients with bowel endometriosis. This study aims to evaluate the fertility of patients affected by rectosigmoid endometriosis who did not undergo previous surgical treatment.",NO,"Endometriosis|Bowel Endometriosis|Endometriosis, Rectum|Endometriosis Colon",BEHAVIORAL: Expectant management,"Clinical pregnancy rate, Ultrasonographic evidence of intrauterine gestational sac, 4-9 weeks after conception|Live birth rate, Complete expulsion or extraction from a woman of a product of fertilization after 22 completed weeks of gestational age, which, after such separation, breathes or shows any other evidence of life, 22 weeks after conception","Number (%) of patients conceiving spontaneously/by Assisted Reproductive Technology, Modality of conception, Immediately after diagnosis of clinical pregnancy|Number (%) of patients undergoing vaginal delivery/delivering by cesarean section, Modality of delivery, 22-42 weeks after conception",,Ospedale Policlinico San Martino,,FEMALE,"ADULT, OLDER_ADULT",,215,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,FERT-RECTOSIGM-ENDO,2009-05-01,2020-01-01,2020-01-01,2020-04-08,,2020-11-18,"IRCCS Ospedale Policlinico San Martino, Genoa, 16132, Italy",
NCT03481842,"Safety, Tolerability and Efficacy of Vaginal Suppositories for Treatment of the Endometriosis",https://clinicaltrials.gov/study/NCT03481842,ELTA,WITHDRAWN,"Background:

Endometriosis is a chronic gynecological disease with the growth of endometrial tissue outside the endometrium. In all its properties, this tissue is similar to the mucous membrane of the uterus.

Types of endometriosis:

Endometriosis is divided into genital and extragenital. Genital endometriosis is internal and external. When the inner is affected by the uterus, with the external - the ovaries, tubes, vagina and external genital organs are affected. Extragenital endometriosis can affect various organs of the abdominal cavity.

Drug treatment does not show high effectiveness. Surgery / laparoscopic is currently considered the gold standard treatment for this problem, including infertility treatment.

The purpose of our studies is to achieve substantial results with respect to tolerability, safety and clinical efficacy of vaginal suppository ELTA for treatment of the endometriosis.

Methods:

Phase I clinical trial to be conducted at Cancer Center to hold under the aegis UniversitätsSpital Zürich from May 2018 to September 2018.

Ninety-four patients with the form of genital endometriosis will take part in the studies. The study was approved by the Ethics Committee at the Cancer Institute no C99884.01FH339",NO,"Endometriosis|Endometriosis Ovary|Endometriosis Externa|Endometriosis, Rectum",BIOLOGICAL: Linifanib|DRUG: BIBW2992|DRUG: Axitinib,"Local tolerability of the vaginal suppository ELTA defined as a cumulative sum of clinical signs for each patient, Local tolerability of the vaginal suppositories ELTA will be defined as a cumulative sum score of the solicited local /vaginal (consisting of subjectively experienced symptoms rated by the patient: burning, itching, bleeding, pain, dryness and objectively documented findings rated by the physician: redness, petechial bleeding, dryness, swelling) for each patient after every weeks of application (scored from 0 \[none/normal\] to 5 \[severe\]) Weekly visit of patients every seventh day from the beginning of treatment.

SCALE EVALUATION EVENTS

* burning - 2 points,
* dryness - 1 point,
* painful symptom- 3 points,
* itching - 1 point,
* bleeding - 5 points,

If there is bleeding or the development of edema - the study for the patient will be stopped., 6 weeks","Subjective symptoms (local tolerability), Each of the subjective symptoms (scored from 0 \[none/normal\] to 5 \[severe\]) from the first visit (after the first application)/ A detailed description of the symptoms in each visit (with endoscopic photofixation of the endometriosis surface), 7 weeks","Objective findings, Each of the objective symptoms (scored from 0 \[none/normal\] to 3 \[severe\]) from the first visit (after the first application).

* dryness, itching, hyperemia of the perineum - 1 point,
* pain syndrome with itching / dryness or without - 2 points,
* bleeding with pain syndrome (or other symptoms / without them - 3 points,

A detailed description of the symptoms in each visit (with endoscopic photofixation of the endometriosis surface), 7 weeks|Global judgement of tolerability, Global judgement of tolerability by investigator and patients. The scores of the Clinical Global Impression (CGI) Scale., 4 weeks|Safety evaluation of therapy, Safety evaluation of therapy. Drugs safety will be evaluated by assessment of adverse events ( ADRs)., 15 weeks|Serious Adverse Event., Occurrence of AE / SAE / ADE / SADE. Characteristics of occured AE / SAE / ADE / SADE, up to 15 weeks|Change in pH-value from vaginal smear, pH-value from vaginal smear at every visit for each patient after the 3rd and 6th week of application of suppositories., up to 6 weeks|Change in Vaginal flora, Vaginal flora (Lactobacillus spp., Atopobium vaginae and Gardnerella vaginalis) on the first day of intake (before using the first suppository) and on the day of termination of therapy, up to 15 weeks|Other signs of assessing the hip therapy, Mandatory Clinical blood test for each patient after the 3rd and 6th week of application of suppositories.

A control blood test on the first day of the 15th week after the start of the first suppository, up to 15 weeks",BioGene Pharmaceutical Ltd.,,FEMALE,ADULT,PHASE1|PHASE2,0,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,C99884.337/18,2021-10-10,2021-10-10,2021-10-10,2018-03-29,,2021-10-29,"BioGene Pharmaceutical Ltd., Basel, Вâlе, 4057, Switzerland",
NCT06286371,Pelvic Neuro-Angiogenesis in Deep Endometriosis,https://clinicaltrials.gov/study/NCT06286371,,RECRUITING,"Endometriosis is observed in one out of every ten women in society, causing endometrial cells to be found outside their normal location in the body and proliferate in other locations, leading to fibrosis in the tissue due to the secretion of various factors from the cells. Additionally, the substances secreted by the cells can cause various other changes in the tissue besides fibrosis. Increased neurogenesis and neovascularization are among the primary changes, which occur as a result of the secretion of substances from the cells. Increased neovascularization, neurogenesis, and fibrosis in the tissue lead to the formation of nodular structures in the pelvic region, resulting in pain development in women.

Nodular formations in the pelvic region due to endometriosis are especially observed in the rectovaginal space. Despite being small in size, they can induce increased neovascularization and neurogenesis even in healthy peritoneal tissue due to the microenvironment they create, leading to different clinical symptoms clinically. However, it is not known how far these changes occur around the endometriotic nodule in the presence of endometriosis.

In this project, in patients operated on due to endometriosis, the density of nerve and vascular structures in the surgical margins of the peritoneal tissue excised along with the nodule, and the synthesis and release of chemical mediators causing pain (e.g., Bradykinin, Substance-P) are evaluated. The aim is to determine the minimum surgical margin where excision should be applied in surgery and to demonstrate any endometriotic changes that may exist in the tissues, even though they may appear macroscopically healthy.",NO,Endometriosis-related Pain|Endometriosis|Deep Endometriosis|Endometriosis; Peritoneum,PROCEDURE: Laparoscopic Endometriosis Surgery,"Density of Neuro-Angiogenesis, Density of nerve fibers and capillaries in each 1 cm peritoneal leaf which excised during laparoscopic endometriosis surgery, 6 months|Density of Pain Mediators in Pelvic Peritoneum, Density of Substance-P, Bradykinin, Nerve Growth Factor and PGP 9.5 in each peritoneal leaf which excised during surgery, 6 months","Relationship between Neuro-Angiogenesis Density and Pelvic Pain Scores, Patients will be surveyed before and after (0., 3., 6. months) surgery about the visual analogue scores for pelvic pain, and the scores will be analyzed to determine if there is any correlated factor (nerve density, capillary denstiy or pain mediators) with pelvic pain., 6 months",,Uludag University,,FEMALE,ADULT,NA,15,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-13/37,2023-12-01,2024-09,2025-04,2024-02-29,,2024-03-04,"Uludag University Faculty Hospital, Bursa, Gorukle, 16285, Turkey",
NCT06093243,Women's Knowledge About Endometriosis,https://clinicaltrials.gov/study/NCT06093243,Connaiss-Endo,NOT_YET_RECRUITING,"In the world, 10% of women of childbearing age have endometriosis with diagnostic mostly between 25 and 30 years old.

Endometriosis is the leading cause of infertility in our country. A diagnosis delay of approximately 6.7 years is observed for endometriosis.",NO,Endometriosis,OTHER: data collection,"knowledge score on endometriosis symptoms, 14 questions with yes/no answers, about symptoms of endometriosis (pain, nausea and vomiting, prolonged heavier period flow,...).

A correct answer earns 1 point and a wrong answer earns 0 points. The knowledge score will therefore be between 0 and 14, the higher the score the better the knowledge., Day 0",,,Université de Reims Champagne-Ardenne,,FEMALE,"ADULT, OLDER_ADULT",,500,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023_RIPH_012_Connaiss-Endo,2023-12-01,2024-02-01,2024-05-01,2023-10-23,,2023-10-23,"Université de Reims Champagne Ardenne, Reims, 51100, France",
NCT04374006,"Effects of Sulawesi Propolis Extract on Lesion Growth, Apoptotic and Inflammatory Activity of the Rat Endometriosis Tissue",https://clinicaltrials.gov/study/NCT04374006,,COMPLETED,This study aims to evaluating inflammatory and apoptotic activity in rat's endometriosis lesion treated by Propolis compared to Dienogest,NO,Endometriosis; Peritoneum|Endometriosis,DRUG: Dienogest|DRUG: Propolis|OTHER: placebo,"mRNA expressions of Bax, Bcl, Cleaved Caspase 3, IL-1B, and PGE 2, The expression of Bax, Bcl-2, ad Caspase 3, IL-1B, PGE2 mRNA was carried out by isolating the RNA samples of endometriosis tissue based on the modified QIAamp RNA Blod Mini Handbook protocol. RNA spectrophotometric measurments and cDNA synthesis were carried out based on the Instruction Manual ReverTra Ace qPCR RT Master Mix with gDNA Remover protocol (Toyobo 2017: 2). In real-time PCR examination, the melting temperature (Tm) was determined to perform Quantitative Real-time PCR (Q-PCR) based on the QuantiTech SYBR Green PCR Handbook protocol (Qiagen 2011: 11) using a 3-step cycling cycle. The results were then compared with the standard curve and analyzed, through study completion, an average of 6 months|Mollecular docking, Twenty-three compounds contained in Propolis were tested by screening using rule of 5 (Lipinski's rule), screening results determine which compounds can enter the body and can work in endometriosis tissue. Furthermore, the three-dimensional shape is made of compounds which have passed the first stage. This process was created using the Marvin Sketch program. Furthermore, the compound that has been formed is stored as a ligand with extension pdb (protein data bank). Look for NFĸB receptor proteins, estrogen A, estrogen B, progesterone A and progesterone B in the protein data bank, which will be stored as protein. Ligands and proteins are tested using standard Lamarckian algorithms in the Autodock program. The results obtained are in the form of bond energy (ΔG), where smaller results indicate a higher likelihood of interaction, during the procedure|Lession size, In the second laparotomy (before the treatment are given) the investigators take a picture of the lession (as the beginning lession). Then the investigators give the treatment. After the treatment are done, the investigators do the necropsy to take a picture after the treatment was given to compare it with the beginning, during the procedure|The normality of estrus cycle after the treatment, Vaginal discharge of the rat obtained through vaginal lavage was fixed using 90% alcohol solution and stained using Giemsa. The specimen was examined microscopically to determined its estrous cycle, during the procedure","Organs morpholgy after the treatment, In the necropsy, the investigators take ovarium, uterus, and peritonium to see if there's any change in morphology after the treatment was given, through study completion, an average of 6 months",,Indonesia University,,FEMALE,"CHILD, ADULT, OLDER_ADULT",EARLY_PHASE1,120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,19-10-1269',2019-11-01,2020-05-18,2020-05-18,2020-05-05,,2021-04-01,"Animal Laboratory of Indonesia University, Jakarta, Capital Special Region, Indonesia","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/06/NCT04374006/Prot_SAP_000.pdf"
NCT05951452,The Developmental Origins of Endometriosis,https://clinicaltrials.gov/study/NCT05951452,ENDOHaD,RECRUITING,"Introduction:

Endometriosis is a common pathology affecting one in 10 women, characterized by the ectopic development of endometrium, which can cause pain and/or infertility. This pathology is primarily determined by hereditary factors, but it is also susceptible to environmental influences, such as the age of the onset of menstruation or exposure to chemical substances that modify the endocrine system. Recent studies have highlighted that endometriosis is more common in women with relatively short ano-genital distances (AGD), and that sensitivity to pain is closely linked to adult levels of testosterone (T) or oxytocin (OT).

Aim:

The main objective is to compare the anogenital distance (AGD) between two groups of women: one with stage III or IV endometriosis (ENDO +) and another group without endometriosis confirmed by laparoscopy (ENDO -).

The secondary objectives are to compare various factors between the 2 groups :

* Basal testosterone levels in blood.
* Variations in blood testosterone levels before and after a video stimulating empathy.
* Basal oxytocin levels in saliva.
* Variations in oxytocin levels in saliva before and after an empathy-stimulating video.
* Pelvic pain, between D2 and D5 after the start of the menstrual cycle.

For the ENDO + group only:

* Evaluate patients' quality of life, between D2 and D5 after the start of the menstrual cycle.
* Correlate pain experienced over the last 4 weeks with hormonal markers (AGD, T, OT).

Methods:

Participants in the ENDO+ group will fill in a questionnaire assessing the impact of pain experienced over the past 4 weeks on their quality of life. D0 is defined as the day when participants experience a menstrual bleed before 10 am. All participants will return for project-specific hospital appointment between D2 and D5 after the start of their menstrual cycle to measure T, Sex Hormone-Binding Globulin (SHBG) and OT.

During this consultation, the following samples will be taken:

* 10mL blood sample
* 2mL saliva sample

Both samples will be taken at t0 (before watching the video) and t1 (20 minutes after watching the video).",NO,Endometriosis,OTHER: Blood samples for testosterone and SHBG measurements|OTHER: Saliva samples for oxytocin measurements,"Measure of the anogenital distance (AGD), AGD is measured at enrollment for patients already diagnosed by Magnetic resonance imaging (MRI), and it is measured during the laparoscopy once the diagnosis has been confirmed.

AGD is measured by 2 different operators with a millimetric precision ruler according 2 validated methods :

* measure of the distance from the clitoral surface to the anus (AGD-AC), and
* measure of the distance from the posterior fourchette to the anus (AGD-AF). The method is described here: https://www.jove.com/v/57912/ Each operator will measure the AGD-AC and the AGD-AF 3 times. For each type of AGD, the final value will correspond to the mean of the 6 values., At diagnosis or at inclusion","Basal total testosterone, The basal total testosterone (Ttotal(t0)) level is measured in blood, t0 : Between the second and the fifth day of the menstrual cycle, before wathching an empathy-inducing video|Basal bio-available testosterone, The basal bio-available testosterone (Tbio-available(t0)) level is measured in blood, t0 : Between the second and the fifth day of the menstrual cycle, before wathching an empathy-inducing video|Basal sex hormone-binding globulin, Basal sex hormone-binding globulin (SHBG(t0)) level is mesured in blood, t0 : Between the second and the fifth day of the menstrual cycle, before watching an empathy-inducing video|Basal Free Androgen Index, Basal Free Androgen Index (FAI(t0)) = (Ttotal(t0)/SHBG(t0))\*100, t0 : Between the second and the fifth day of the menstrual cycle, before watching an empathy-inducing video|Total testosterone after empathy induction, The total testosterone level after empathy induction (Ttotal(t1)) is measured in blood, t1 : Between the second and the fifth day of the menstrual cycle, after wathching an empathy-inducing video|Bio-available testosterone after empathy induction, The bio-available testosterone level after empathy induction (Tbio-available(t1)) is measured in blood, t1 : Between the second and the fifth day of the menstrual cycle, after wathching an empathy-inducing video|Sex hormone-binding globulin after empathy induction, Sex hormone-binding globulin after empathy induction (SHBG(t1)) is mesured in blood, t1 : Between the second and the fifth day of the menstrual cycle, after wathching an empathy-inducing video|Free Androgen Index after empathy induction, Free Androgen Index after empathy induction (FAI(t1)) = (Ttotal(t1)/SHBG(t1))\*100, t1 : Between the second and the fifth day of the menstrual cycle, after wathching an empathy-inducing video|Variation in total testosterone levels before and after an empathy-inducing video, The level of variation in total testosterone before (t0) and after watching empathy-inducing video (t1) is assessed according to: Ttotal(t1)-Ttotal(t0), t1 : Between the second and the fifth day of the menstrual cycle, after wathching an empathy-inducing video|Variation in bio-available testosterone levels before and after an empathy-inducing video, The level of variation in bio-available testosterone before (t0) and after watching empathy-inducing video (t1) is assessed according to: Tbio-available(t1)-Tbio-available(t0), t1 : Between the second and the fifth day of the menstrual cycle, after wathching an empathy-inducing video|Variation in Sex hormone-binding globulin levels before and after an empathy-inducing video, The level of variation in Sex hormone-binding globulin before (t0) and after watching empathy-inducing video (t1) is assessed according to: SHBG(t1)-SHBG(t0), t1 : Between the second and the fifth day of the menstrual cycle, after wathching an empathy-inducing video|% of variation in Free Androgen Index before and after an empathy-inducing video, % of variation in Free Androgen Index before (t0) and after watching empathy-inducing video (t1) is assessed according to: \[\[FAI(t1)-FAI(t0)\]/FAI(t0)\] × 100, t1 : Between the second and the fifth day of the menstrual cycle, after wathching an empathy-inducing video|Basal oxytocin (OT) level, The basal OT level is measured by the dosage in the saliva of :

Total OT (OTtotal(t0)), t0 : Between the second and the fifth day of the menstrual cycle, before wathching an empathy-inducing video|Oxytocin (OT) level after empathy induction, The basal OT level is measured by the dosage in the saliva of :

Total OT (OTtotal(t1)), t1 : Between the second and the fifth day of the menstrual cycle, after wathching an empathy-inducing video|Variation in oxytocin (OT) level before and after an empathy-inducing video, Variation in OT level before (t0) and after watching an empathy-inducing video (t1) is assessed in the saliva according to:

- OTtotal(t1)-OTtotal(t0)

-% of variation of OT = \[\[OT(t1)-OT(t0)\]/OT(t0)\] × 100, t1 : Between the second and the fifth day of the menstrual cycle, after wathching empathy-inducing video|Area under the Receiving Operator Characteristic (ROC) curve for AGD, The ROC curve is a graphical representation that illustrates the performance of a binary classification model. It plots the true positive rate (sensitivity) against the false positive rate (1 - specificity) at various classification thresholds. In other words, the model's sensitivity corresponds to the model's ability to detect patients (ENDO+) while the model's specificity corresponds to the model's ability to detect a non-patient (ENDO-). The ROC curve helps assess the model's ability to correctly identify true positives while minimizing false positives.

The area under the ROC curve (AUC) can be interpreted as the probability that, among two randomly chosen subjects, a patient and a non-patient, the value of the marker is higher for the patient than for the non-sick. An AUC of 0.5 (50%) indicates that the marker is non-informative. An increase in AUC indicates an improvement in discriminatory abilities, with a maximum of 1.0 (100%)., At diagnosis (ENDO+) or at enrollment (ENDO-)|Pelvic pain intensity, Pelvic pain will be assessed using a Visual Analogue Scale (VAS). The visual analog scale (VAS) is a validated, unidimensional subjective measure for acute and chronic pain. Scores are recorded by making a handwritten mark on a 10-cm line that represents a continuum between ""no pain"" and ""worst pain."", t0 : Between the second and the fifth day of the menstrual cycle, before watching an empathy-inducing video","Quality of life (for the ENDO+ group only), The quality of life of patients with endometriosis is assessed with the Endometriosis Health Profile questionnaire (EHP-30©)

EHP-30 is a self-administered questionnaire validated in French to assess the effects that endometriosis can have on the quality of life of women. This questionnaire consists of 30 domains grouped into 5 areas:

Pain (11 items: n° 1 to 11), Control and helplessness (6 items: n°12 to 17), Emotional well-being (6 items: n°18 to 23), Social support (4 items: n°24 to 27), Self-image (3 items: n°28 to 30). Each item is rated on a Likert scale (Never=0, Rarely=1, Sometimes=2, Often=3, Always=4). Each domain is then represented by a score calculated on a scale from 0 (indicating the best possible state of health) to 100 (indicating the worst possible state of health): Domain score = \[sum of responses to each item in the domain\] / \[4 (= maximum item response) × number domain items\] × 100, t0 : Between the second and the fifth day of the menstrual cycle, before wathching an empathy-inducing video|Score of pain (for the ENDO+ group only), The score of pain of patients with endometriosis is assessed with the French version of the Endometriosis Health Profile questionnaire (EHP-30©). The score of the first domain Pain consists of 11 items. Each item is rated on a Likert scale (Never=0, Rarely=1, Sometimes=2, Often=3, Always=4)., t0 : Between the second and the fifth day of the menstrual cycle, before wathching empathy-inducing video","University Hospital, Montpellier","Centre National de la Recherche Scientifique, France|Fondation pour la Recherche sur l'Endométriose|Fondation pour la Recherche Médicale|Université Montpellier",FEMALE,ADULT,,40,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,RECHMPL23_0057,2024-01-08,2026-12-01,2026-12-01,2023-07-19,,2024-05-03,"CHU de Montpellier, Montpellier, 34295, France",
NCT06753162,Oral Health and Endometriosis: A Cohort Study,https://clinicaltrials.gov/study/NCT06753162,Oral-Endomet,COMPLETED,"A survey has been conducted thanks to a questionnaire composed of 45 questions. The study group was composed of 4079 women affected by endometriosis, recruited from dedicated communities present on the social network Facebook. The questionnaire investigated about: the endometriosis status, the kind of therapy, the presence of any sign and symptoms in the oral cavity, the presence of periodontal problems, the self-perception of the oral health status, the presence of other autoimmune diseases and oral hygiene and the eating habits, physical activity practiced, the life quality.",NO,Endometriosis,,"Response Patterns Based on Multiple Correspondence Analysis Dimensions, To evaluate the possible correlations between endometriosis and the perception of periodontal disease, a score was created to summarize on a numerical scale the responses to survey questions describing the perception of oral cavity disorders. Multiple Correspondence Analysis (MCA) was used to explore relationships between responses. For the MCA, only questions with a p-value \< 0.25 in the univariate analysis were included. The responses to the questions were labeled as ""yes,"" ""no,"" and ""I don't know"". In the case of question Q11, a grade was assigned to the responses as follows: ""Idk"" (I don't know), ""Grd0"" (Insufficient), ""Grd1"" (Average), ""Grd2"" (Good), ""Grd3"" (Very Good), and ""Grd4"" (Perfect)., 1 year|Epidemiological Analysis, It was statistically evaluated whether the severity of endometriosis increased significantly with age., 1 year|Comparative Analysis of Oral Cavity Disorders Across Different Stages of Endometriosis, The correlation between general gum bleeding and the stage of the disease was statistically evaluated., 1 year",,,University of Bari Aldo Moro,,FEMALE,"CHILD, ADULT, OLDER_ADULT",,4079,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,endometriosis-oralhealt,2023-01-01,2023-06-01,2024-12-01,2024-12-31,,2025-01-01,"University of Bari Aldo Moro, Bari, 70124, Italy",
NCT06414083,Histologic Comparison of Ablative Techniques for Endometriosis,https://clinicaltrials.gov/study/NCT06414083,,RECRUITING,"To our knowledge, no other human studies directly compare the effectiveness of the various ablative technologies. We set out to design a study to directly compare ablative energy sources and evaluate their ability to destroy native endometriosis tissue in humans.",NO,Endometriosis|Endometriosis-related Pain|Endometriosis Pelvic|Endometriosis; Peritoneum,DEVICE: Diathermy|DEVICE: CO2 Laser|DEVICE: Argon Beam Coagulator,"Positive Histology, Endometriosis seen on pathologic sample., 0 days","Pelvic Pain, Pre-operative and Post-operative Pelvic Pain Visual Analog Scale. Minimum Score 0. Maximum Score 100. Higher score is worse outcome., 3 months",,TriHealth Inc.,,FEMALE,"ADULT, OLDER_ADULT",NA,141,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,24-007,2024-05-09,2025-05-09,2025-06-09,2024-05-16,,2024-05-30,"Good Samaritan Hospital, Cincinnati, Ohio, 45220, United States",
